date,btc,Gold,Dollar,SnP
2021-06-07,0.43449194436617916,0.6665837737022071,0.05329153605015646,0.6592973152137884
2021-06-08,0.43203098762094966,0.662480571961455,0.058385579937303866,0.6595624792840571
2021-06-09,0.4893727965973031,0.663506372396643,0.059952978056426076,0.6570102751077229
2021-06-10,0.47917967345316254,0.664345663661797,0.05799373040752309,0.6635067948293005
2021-06-11,0.4885704600191834,0.6486788933789245,0.07719435736677083,0.6662247265495524
2021-06-14,0.5341365094051678,0.6359030152315825,0.07562695924764862,0.6687769307258868
2021-06-15,0.5288097786899004,0.6270438296549583,0.07641065830720972,0.6659595624792842
2021-06-16,0.5031237036440277,0.6317065589058131,0.09952978056426298,0.6583692409678488
2021-06-17,0.4994598859614567,0.5509480882810072,0.12931034482758585,0.6577726218097446
2021-06-18,0.46693241412587444,0.5455393223500156,0.1422413793103443,0.639376864434869
2021-06-21,0.40667617870283623,0.5585017096673921,0.12970219435736663,0.6587338415644681
2021-06-22,0.41956379048011266,0.5533727074914518,0.1242163009404389,0.6658932714617167
2021-06-23,0.4362846450351078,0.5589679825924776,0.12578369905956066,0.6643685780576731
2021-06-24,0.45037983990187075,0.5527199253963322,0.12617554858934144,0.6725555187272125
2021-06-25,0.40632588087097665,0.5537457258315202,0.1277429467084632,0.6772621809744779
2021-06-28,0.4479729732630314,0.556450108797016,0.12931034482758585,0.6805435863440505
2021-06-29,0.4682473188550241,0.5405035747590923,0.1355799373040747,0.6809413324494531
2021-06-30,0.45584480088902385,0.54796394156046,0.1508620689655169,0.682830626450116
2021-07-01,0.4338036549171413,0.5528131799813492,0.15713166144200574,0.6902552204176333
2021-07-02,0.4378369452311916,0.5588747280074604,0.14263322884012508,0.7009943652635069
2021-07-05,0.4364573613272052,0.569039477774324,0.14184952978056353,0.6988067616837919
2021-07-06,0.44403956362162744,0.5697855144544608,0.1551724137931032,0.6980775604905536
2021-07-07,0.4389183180724347,0.5764065899906745,0.1586990595611284,0.7029168047729535
2021-07-08,0.42480323292845407,0.5746347528753499,0.1500783699059558,0.6905535299966854
2021-07-09,0.4382556427213963,0.5843332297171278,0.1387147335423191,0.7067285382830628
2021-07-12,0.42782140362681315,0.5799502642213243,0.14380877742946696,0.7117003646005968
2021-07-13,0.4227148969161341,0.5836804476220083,0.16300940438871425,0.7065959562479283
2021-07-14,0.4240063339800773,0.5977618899595898,0.14968652037617503,0.70828637719589
2021-07-15,0.41055506895129157,0.6014920733602738,0.1579153605015673,0.7035465694398408
2021-07-16,0.40345567093983276,0.58843643145788,0.16065830721003094,0.6926748425588332
2021-07-19,0.3956681265748556,0.5830276655268887,0.16849529780564243,0.6699038780245277
2021-07-20,0.380653113708422,0.5850792663972648,0.17163009404388685,0.6913158766987075
2021-07-21,0.41434008853892174,0.5776188995958971,0.16300940438871425,0.7031156778256547
2021-07-22,0.4163909335251195,0.5794839912962388,0.1657523510971779,0.706032482598608
2021-07-23,0.4356553109401246,0.5761268262356234,0.1692789968652031,0.720715942989725
2021-07-26,0.4872199245056658,0.5737022070251789,0.15909090909090917,0.7241962214119988
2021-07-27,0.5189909934249041,0.5742617345352814,0.15047021943573657,0.7173019555850182
2021-07-28,0.5270285256625359,0.5741684799502644,0.14615987460814983,0.7170036460059663
